Date,Sales
2021-01-01,105.82780933790406
2021-01-02,100.52125292591538
2021-01-03,109.42349945514951
2021-01-04,119.21886597366608
2021-01-05,102.68796761559875
2021-01-06,103.72779208532967
2021-01-07,122.89942253898121
2021-01-08,115.81799339262194
2021-01-09,104.4832200257841
2021-01-10,115.63559585334305
2021-01-11,106.60531212893704
2021-01-12,107.60889637911778
2021-01-13,115.70948264374796
2021-01-14,95.1774354880888
2021-01-15,98.07790142153826
2021-01-16,110.71726293164473
2021-01-17,107.22085614452533
2021-01-18,121.49639561909626
2021-01-19,110.27391874622512
2021-01-20,106.22659973966172
2021-01-21,135.99660092783301
2021-01-22,120.06758662595715
2021-01-23,123.98039020183839
2021-01-24,110.03167079743282
2021-01-25,119.80342144112271
2021-01-26,127.31838943686886
2021-01-27,115.65473058153607
2021-01-28,131.8705083538278
2021-01-29,123.04913508831984
2021-01-30,127.07348534827449
2021-01-31,124.90094176500962
2021-02-01,150.36083826455518
2021-02-02,132.6153777372139
2021-02-03,123.07756313299016
2021-02-04,142.77625905624592
2021-02-05,123.23011465012792
2021-02-06,138.40632313172372
2021-02-07,117.59131045708654
2021-02-08,124.76746047967697
2021-02-09,140.87002630630798
2021-02-10,147.12875811130098
2021-02-11,142.29084334010136
2021-02-12,140.24394309034255
2021-02-13,139.20266173435812
2021-02-14,128.2315721344657
2021-02-15,136.61108007218917
2021-02-16,139.98532060373523
2021-02-17,155.93439516541588
2021-02-18,149.55992439202976
2021-02-19,129.2428413383081
2021-02-20,150.8523488626421
2021-02-21,144.48755293036282
2021-02-22,142.28446137225643
2021-02-23,155.87403119110962
2021-02-24,160.7589774257846
2021-02-25,160.44147346322967
2021-02-26,143.40401604950094
2021-02-27,149.35927184313866
2021-02-28,156.40677956682887
2021-03-01,163.47975521792048
2021-03-02,149.54999674742365
2021-03-03,153.08973223646063
2021-03-04,144.4745778594845
2021-03-05,144.15436854103726
2021-03-06,164.80698452191064
2021-03-07,170.79608909768646
2021-03-08,157.05211172179972
2021-03-09,168.3325222495783
2021-03-10,162.42488867075244
2021-03-11,152.85492349290124
2021-03-12,163.40383390647509
2021-03-13,175.64007534680292
